disaster_id,disaster_location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd,even_split_dam_usd,start_date,end_date,lat_rad,lng_rad,nearest_city,population,distance_km,casualty_rate,damage_rate,homeless_rate,affected_rate,duration,priority_score,relief_priority
1980-9364,1980-9364_1699597,1699597,1,Mindanao,8.0,125.0,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1,1980,,Mindanao,Natural,Climatological,drought,Drought,,,,Philippines,PHL,1980-1-1,1980-7-1,0,0,1002100,0,1002100,0,0.0,1980-01-01,1980-07-01,0.13962634015954636,2.181661564992912,Valencia,223620,14.762001821546653,0.0,0.0,0.0,0.029455452041604067,0.5986842105263157,0.07017782926719299,High
1980-314,1980-314_1688177,1688177,1,Santa Fe,16.2,120.88333,ADM3,6295630|6255147|PH|02|1697456|1688177,Earth|Asia|Philippines|Cagayan Valley|Province of Nueva Vizcaya|Santa Fe,1,1,1980,,Santa Fe (Vizcaya Province),Natural,Geophysical,rockfall,Rockfall,,,,Philippines,PHL,1980-11-11,1980-11-11,50,0,0,0,0,0,0.0,1980-11-11,1980-11-11,0.2827433388230814,2.109812119274837,Tayug,45476,24.10299288002575,0.0003557377993527893,0.0,0.0,0.0,0.0,7.114755987055786e-05,Low
1980-99,1980-99_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6,101,0,775000,229000,1004000,286283388,71570847.0375,1980-11-06,1980-11-06,0.30816702643810717,2.1246474179167887,Tuguegarao,167297,4.83320126796308,0.0001953329406385186,0.07362503820103601,0.049926615101370225,0.039446714123546445,0.0,0.033689574126815114,High
1980-99,1980-99_7521301,7521301,4,Ilocos,16.97917,120.52083,ADM1,6295630|6255147|PH|01,Earth|Asia|Philippines|Ilocos,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6,101,0,775000,229000,1004000,286283388,71570847.0375,1980-11-06,1980-11-06,0.2963424207558456,2.1034853007363576,Balaoan,40339,21.42424298265379,0.0008100997786261991,0.30534341495621414,0.2070594939540875,0.16359644345985147,0.0,0.13971999015081654,High
1980-99,1980-99_7521305,7521305,4,Central Luzon,15.30714,120.79762,ADM1,6295630|6255147|PH|03,Earth|Asia|Philippines|Central Luzon,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6,101,0,775000,229000,1004000,286283388,71570847.0375,1980-11-06,1980-11-06,0.2671599920637248,2.1083161975729525,Concepcion,178549,15.379794862117183,0.00018302323154989524,0.06898525343697652,0.04678028399270752,0.03696081710189891,0.0,0.03156648697384913,High
1980-99,1980-99_7521300,7521300,4,Cordillera,17.0852,121.03322,ADM1,6295630|6255147|PH|15,Earth|Asia|Philippines|Cordillera,1,1,1980,Betty (Aring),North and Central Luzon,Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1980-11-6,1980-11-6,101,0,775000,229000,1004000,286283388,71570847.0375,1980-11-06,1980-11-06,0.2981929933617352,2.1124281932906515,Bayombong,72890,68.073079230789,0.00044832782233505616,0.16898405838823874,0.11459147930599443,0.0905380289851413,0.0,0.07732425137458894,High
1980-70,1980-70_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1,1980,Kim,Cagayan Valley (Northwestern),Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1980-7-25,1980-7-25,40,0,190000,0,190000,0,0.0,1980-07-25,1980-07-25,0.30816702643810717,2.1246474179167887,Tuguegarao,167297,4.83320126796308,7.735958045089845e-05,0.0,0.0,0.007465015620989864,0.0,0.002628227383436632,Low
1981-150,1981-150_1715347,1715347,3,Province of Davao del Norte,7.45099,125.81543,ADM2,6295630|6255147|PH|11|1715347,Earth|Asia|Philippines|Davao|Province of Davao del Norte,1,1,1981,,"Maco, Davao del Norte",Natural,Hydrological,flood,Flash flood,,,,Philippines,PHL,1981-10-9,1981-10-9,125,122,0,0,122,0,0.0,1981-10-09,1981-10-09,0.1300443080331723,2.1958935033124494,Tagum,300042,0.9129802165913101,0.00026635274023981706,0.0,0.0,2.6726559270835142e-06,0.0,5.420597762244264e-05,Low
1981-150,1981-150_1704272,1704272,1,Maco,7.4,125.93333,ADM3,6295630|6255147|PH|11|1715347|1704272,Earth|Asia|Philippines|Davao|Province of Davao del Norte|Maco,1,1,1981,,"Maco, Davao del Norte",Natural,Hydrological,flood,Flash flood,,,,Philippines,PHL,1981-10-9,1981-10-9,125,122,0,0,122,0,0.0,1981-10-09,1981-10-09,0.1291543646475804,2.1979512465005504,Maco,87680,9.189361379917576,0.0009114622363941057,0.0,0.0,9.145860283690601e-06,0.0,0.00018549349837811287,Low
1981-112,1981-112_1697549,1697549,3,Northern Samar,12.33333,124.66667,ADM2,6295630|6255147|PH|08|1697549,Earth|Asia|Philippines|Eastern Visayas|Northern Samar,1,1,1981,Lee (Dinang),"Samar, Mindoro, Luzon",Natural,Meteorological,storm,Tropical cyclone,,,,Philippines,PHL,1981-12-25,1981-12-25,250,0,180000,0,180000,68503619,13700723.886,1981-12-25,1981-12-25,0.21525721623499225,2.175843858997239,Catarman,97738,18.828878822024954,0.0008275968488902704,0.030155574438365168,0.0,0.012105265812793463,0.0,0.007417919848092282,Medium
